"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","28-077","UTA","@","DET",-5,0,"9:56",0,1,0,0,0,NA,0,0,NA,0,1,1,0,1,0,0,2,0,-0.2,0,3.3
2,2,"2015-10-30","28-079","UTA","@","PHI",28,0,"5:24",1,3,0.333,0,0,NA,0,0,NA,1,0,1,0,0,0,0,2,2,0.2,7,3.3
3,3,"2015-10-31","28-080","UTA","@","IND",21,0,"3:35",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,-1,0
4,4,"2015-11-04","28-084","UTA","","POR",-16,0,"6:11",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,1,1,2,0,-2.5,2,1.5
5,5,"2015-11-05","28-085","UTA","@","DEN",12,0,"1:12",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,0,0
8,6,"2015-11-12","28-092","UTA","@","MIA",-1,0,"2:35",0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,0,0,0,0,0.6,2,2.5
9,7,"2015-11-13","28-093","UTA","@","ORL",-9,0,"15:51",1,3,0.333,1,2,0.5,5,6,0.833,1,3,4,3,0,0,1,3,8,7.4,-7,17.5
13,8,"2015-11-23","28-103","UTA","","OKC",-22,0,"3:35",0,1,0,0,0,NA,2,4,0.5,0,1,1,1,0,0,0,1,2,1.1,9,4.8
18,9,"2015-12-05","28-115","UTA","","IND",3,0,"11:02",1,1,1,0,0,NA,0,0,NA,0,1,1,1,2,0,1,4,2,2.1,-4,8.3
20,10,"2015-12-09","28-119","UTA","","NYK",21,0,"15:24",1,4,0.25,0,2,0,2,2,1,0,7,7,2,1,0,0,3,4,4.9,14,17.8
21,11,"2015-12-11","28-121","UTA","","OKC",-4,0,"7:45",0,1,0,0,1,0,1,2,0.5,0,1,1,0,0,0,0,2,1,-0.6,-7,2.3
22,12,"2015-12-13","28-123","UTA","@","OKC",-6,0,"22:45",1,6,0.167,0,3,0,0,0,NA,2,3,5,4,1,0,1,2,2,2.5,15,15.8
23,13,"2015-12-14","28-124","UTA","@","SAS",-37,0,"16:00",2,5,0.4,0,0,NA,0,0,NA,1,1,2,3,0,0,1,5,4,1.4,4,10.5
24,14,"2015-12-16","28-126","UTA","","NOP",-10,0,"3:04",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,1,0,0,-0.7,-5,0.8
25,15,"2015-12-18","28-128","UTA","","DEN",9,0,"3:23",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,1,1,0,-0.4,-3,2.3
26,16,"2015-12-21","28-131","UTA","","PHO",21,0,"9:46",1,4,0.25,0,2,0,1,2,0.5,0,2,2,1,0,0,0,0,3,1.5,-6,7
28,17,"2015-12-26","28-136","UTA","","LAC",-5,0,"10:27",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,1,0,2,2,0.9,-12,4
29,18,"2015-12-28","28-138","UTA","","PHI",4,0,"16:49",1,3,0.333,0,0,NA,2,2,1,1,3,4,3,1,1,0,3,4,6.5,13,17.5
30,19,"2015-12-30","28-140","UTA","@","MIN",-14,0,"5:59",1,2,0.5,0,1,0,0,0,NA,0,2,2,0,1,0,2,0,2,0.6,5,5.5
31,20,"2015-12-31","28-141","UTA","","POR",13,0,"2:03",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-5,0
